,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
1326,HIugRf9awI1meNAlNci1uw,Lambert Bridge Winery,wineries,Wineries,38.6469297991744,-122.92777482161,4085 W Dry Creek Rd,Healdsburg,CA,95448
1327,LGx6xqT8nBwa0JNrxB6MYg,James French Studios,artrestoration,Art Restoration,38.822623,-122.715665,16400 Golf Rd,Cobb,CA,95426
1328,QRpkcbd9RVxPYPzOix9g9w,Snoopy's Home Ice - Redwood Empire Ice Arena,skatingrinks,Skating Rinks,38.46069,-122.73401,1667 W Steele Ln,Santa Rosa,CA,95403
1329,GBJ2gEYzAPzf5ET48RVkiA,Fritz Underground Winery,wineries,Wineries,38.7353669,-122.988214,24691 Dutcher Creek Rd,Cloverdale,CA,95425
1330,BrRAMuIrwy21ITCCjMn8kw,Rodney Strong Vineyards,wineries,Wineries,38.57331,-122.84554,11455 Old Redwood Hwy,Healdsburg,CA,95448
1331,dZnCYiqRQnZK4C9jjnghgA,DeLoach Vineyards,wineries,Wineries,38.462558,-122.819998,1791 Olivet Rd,Santa Rosa,CA,95401
1332,SYcRbsPW3xn1LJ2y2mb3QQ,Spicy Vines,wineries,Wineries,38.6133944,-122.8717254,441 Healdsburg Ave,Healdsburg,CA,95448
1333,lHiO_Z-oTnoMkEuNZFHQcg,Frame of Mind,framing,Framing,38.4258260887754,-122.848687425934,2000 Gravenstein Hwy N,Sebastopol,CA,95472
1334,2iZnIyStc4VtcWG3yNTJOw,F Teldeschi Winery,winetastingroom,Wine Tasting Room,38.655596,-122.9218096,3555 Dry Creek Rd,Healdsburg,CA,95448
1335,W8WN19Lmigp2g8ra0R6T-A,Blue Door Gallery,galleries,Art Galleries,38.5019288957119,-122.999672815204,16359 Main St,Guerneville,CA,95446
1336,qhG6g9wGydn0YYB2zaWxQQ,Korbel Champagne Cellars,wineries,Wineries,38.507873,-122.964784,13250 River Rd,Guerneville,CA,95446
1337,z65m1u_XzbvKQq_Kc9NFgw,Ferrari-Carano Vineyards & Winery,wineries,Wineries,38.7112995029381,-122.978407017552,8761 Dry Creek Rd,Healdsburg,CA,95448
1338,kG9u3YOB_3Sw2HJGozml0Q,Whistlestop Antiques,antiques,Antiques,38.4376678466797,-122.71949005127,130 4th St,Santa Rosa,CA,95401
